dataset,encoder,perturbation,split,auc_roc,auc_pr,best_tau_f1,best_f1,n_pos,n_neg
depression,sbert22M,character,positive,0.18316419535930592,0.1579771713516842,0.30000001192092896,0.4144952652101257,13405,13405
depression,sbert22M,character,negative,9.123965167921212e-08,0.0006570440141868714,0.30000001192092896,0.0016100702576112415,13650,13650
