split,tau,tp,fp,tn,fn,tpr,fpr,precision,recall,f1,J
negative,0.5699997544288635,0,0,13650,13650,0.0,0.0,1.0,0.0,0.0,0.0
negative,0.5799997448921204,0,0,13650,13650,0.0,0.0,1.0,0.0,0.0,0.0
negative,0.5899997353553772,0,0,13650,13650,0.0,0.0,1.0,0.0,0.0,0.0
negative,0.599999725818634,0,0,13650,13650,0.0,0.0,1.0,0.0,0.0,0.0
negative,0.6099997162818909,0,0,13650,13650,0.0,0.0,1.0,0.0,0.0,0.0
negative,0.6199997067451477,0,0,13650,13650,0.0,0.0,1.0,0.0,0.0,0.0
negative,0.6299996972084045,0,0,13650,13650,0.0,0.0,1.0,0.0,0.0,0.0
negative,0.6399996876716614,0,0,13650,13650,0.0,0.0,1.0,0.0,0.0,0.0
negative,0.6499996781349182,0,0,13650,13650,0.0,0.0,1.0,0.0,0.0,0.0
negative,0.659999668598175,0,0,13650,13650,0.0,0.0,1.0,0.0,0.0,0.0
negative,0.6699996590614319,0,0,13650,13650,0.0,0.0,1.0,0.0,0.0,0.0
negative,0.6799996495246887,0,0,13650,13650,0.0,0.0,1.0,0.0,0.0,0.0
negative,0.6899996399879456,0,0,13650,13650,0.0,0.0,1.0,0.0,0.0,0.0
negative,0.6999996304512024,0,0,13650,13650,0.0,0.0,1.0,0.0,0.0,0.0
negative,0.7099996209144592,0,0,13650,13650,0.0,0.0,1.0,0.0,0.0,0.0
negative,0.7199996113777161,0,0,13650,13650,0.0,0.0,1.0,0.0,0.0,0.0
negative,0.7299996018409729,0,0,13650,13650,0.0,0.0,1.0,0.0,0.0,0.0
negative,0.7399995923042297,0,0,13650,13650,0.0,0.0,1.0,0.0,0.0,0.0
negative,0.7499995827674866,0,0,13650,13650,0.0,0.0,1.0,0.0,0.0,0.0
negative,0.7599995732307434,0,0,13650,13650,0.0,0.0,1.0,0.0,0.0,0.0
negative,0.7699995636940002,0,0,13650,13650,0.0,0.0,1.0,0.0,0.0,0.0
negative,0.7799995541572571,0,0,13650,13650,0.0,0.0,1.0,0.0,0.0,0.0
